Mediation,Social,Lawyer,Accounting,Architect,Paramedical,psychologist,Pharmacist,Nursing,Dentist,Yesuv_type,SEMEL_YESUV
161,137,95,56,181,116,19,12,186,31,2,1247
0,16,20,0,5,5,0,6,39,19,2,962
0,58,80,21,50,49,7,41,160,83,2,498
5,23,39,9,19,13,0,0,39,15,2,1295
16,6,7,0,11,7,0,0,18,2,2,46
14,27,13,0,10,15,0,0,26,12,2,29
13,65,79,35,96,54,0,27,207,90,2,499
19,86,24,9,107,35,18,6,56,29,2,831
8,29,51,16,70,21,0,6,34,28,2,502
0,76,55,15,38,60,9,53,185,106,2,504
0,22,20,6,14,38,11,30,81,36,2,505
46,114,156,57,275,89,63,15,105,140,2,1224
0,17,15,0,5,14,9,17,73,42,2,1059
0,11,42,6,13,20,5,0,20,44,2,1296
0,11,11,0,0,8,0,5,64,19,2,978
0,13,8,11,8,24,0,19,44,31,2,633
23,68,44,20,123,58,28,0,95,73,2,1263
8,75,142,38,37,92,19,65,190,186,2,507
0,5,6,6,27,8,0,0,87,5,2,508
13,111,93,26,73,91,14,54,221,209,2,509
0,91,36,11,34,60,5,36,159,60,2,510
0,99,160,47,79,120,20,77,341,316,2,654
14,6,58,9,43,8,12,0,8,25,2,267
14,70,57,15,65,36,6,0,88,80,2,47
19,71,106,53,230,68,43,9,110,160,2,1271
0,17,14,0,7,25,8,32,104,78,2,1060
104,203,471,123,334,119,113,31,244,336,2,1015
0,41,35,10,26,55,11,25,161,71,2,516
7,0,15,0,20,0,0,0,13,2,2,65
9,24,32,8,124,28,8,28,59,177,2,4201
50,147,210,59,229,137,63,19,167,143,2,28
0,15,23,5,7,11,0,9,66,36,2,517
0,43,12,0,9,12,0,0,11,2,2,43
49,165,160,56,285,92,50,9,174,153,2,1268
0,10,8,6,26,0,0,0,12,65,2,4203
0,33,48,15,18,63,6,24,144,59,2,518
0,8,4,0,16,6,0,0,8,4,2,3608
0,48,46,15,38,63,6,42,240,106,2,1327
7,39,9,0,51,12,7,0,22,12,2,99
6,29,24,6,23,26,7,17,62,39,2,520
6,40,54,13,24,41,0,30,222,91,2,522
5,7,29,5,14,6,0,6,35,11,2,525
37,25,184,36,118,11,15,0,29,116,2,587
0,0,14,0,19,0,0,5,15,38,2,4501
43,83,196,44,236,43,51,18,96,270,2,666
8,26,34,10,23,38,5,17,146,73,2,530
0,16,11,14,28,22,0,8,28,22,2,511
0,59,25,8,25,45,9,32,168,72,2,532
0,0,5,0,16,0,0,8,13,46,2,4502
7,6,0,0,6,0,0,0,11,2,2,3660
9,40,54,8,48,20,0,11,80,36,2,534
0,49,90,15,63,149,14,62,326,221,2,637
0,11,12,0,11,15,0,24,83,113,2,1192
0,17,22,11,27,33,0,17,134,75,2,537
0,22,62,5,22,26,6,12,77,47,2,535
0,39,50,20,41,37,0,13,92,44,2,536
175,403,330,107,563,277,156,22,441,138,2,7800
25,53,105,44,99,42,22,10,72,30,2,171
6,66,24,8,44,21,11,0,56,18,2,3557
93,133,264,115,343,132,94,11,141,98,2,195
25,35,8,0,146,16,9,0,56,16,2,4100
11,30,19,15,64,24,0,0,89,13,2,3611
63,268,162,65,430,175,115,10,178,154,2,2300
11,29,26,25,13,17,5,0,31,17,2,1137
